Time&Date,$Flags$,A43,A58,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
14:08.6,,7.04E-11,5.30E-12,00:00.0
14:08.7,,6.86E-11,5.27E-12,00:00.1
14:08.9,,6.98E-11,5.71E-12,00:00.3
14:09.0,,6.98E-11,3.38E-12,00:00.4
14:09.2,,7.11E-11,6.17E-12,00:00.6
14:09.3,,6.79E-11,5.14E-12,00:00.7
14:09.5,,6.95E-11,4.18E-12,00:00.9
14:09.6,,6.68E-11,6.03E-12,00:01.0
14:09.7,,7.02E-11,6.22E-12,00:01.1
14:09.9,,7.25E-11,3.91E-12,00:01.3
14:10.0,,6.95E-11,5.16E-12,00:01.4
14:10.1,,7.03E-11,6.37E-12,00:01.5
14:10.3,,7.28E-11,5.75E-12,00:01.7
14:10.4,,7.10E-11,4.56E-12,00:01.8
14:10.5,,7.27E-11,6.56E-12,00:02.0
14:10.7,,7.08E-11,3.93E-12,00:02.1
14:10.9,,6.94E-11,5.58E-12,00:02.3
14:11.0,,7.29E-11,4.86E-12,00:02.4
14:11.1,,7.35E-11,6.46E-12,00:02.5
14:11.2,,7.02E-11,5.06E-12,00:02.6
14:11.3,,7.29E-11,4.76E-12,00:02.7
14:11.5,,7.49E-11,5.81E-12,00:02.9
14:11.6,,7.08E-11,5.90E-12,00:03.0
14:11.7,,7.19E-11,4.51E-12,00:03.1
14:11.9,,7.31E-11,5.67E-12,00:03.3
14:12.0,,7.15E-11,6.41E-12,00:03.4
14:12.1,,7.01E-11,4.78E-12,00:03.5
14:12.2,,7.16E-11,5.39E-12,00:03.6
14:12.4,,6.88E-11,6.06E-12,00:03.8
14:12.5,,6.97E-11,6.06E-12,00:03.9
14:12.7,,7.31E-11,5.84E-12,00:04.1
14:12.8,,6.98E-11,6.48E-12,00:04.2
14:13.0,,7.02E-11,6.45E-12,00:04.4
14:13.1,,7.30E-11,4.33E-12,00:04.5
14:13.2,,7.02E-11,6.69E-12,00:04.6
14:13.4,,7.38E-11,5.73E-12,00:04.8
14:13.5,,7.15E-11,5.76E-12,00:04.9
14:13.6,,6.91E-11,6.55E-12,00:05.0
14:13.7,,7.03E-11,6.75E-12,00:05.1
14:13.9,,6.86E-11,6.33E-12,00:05.3
14:14.0,,7.56E-11,5.25E-12,00:05.4
14:14.1,,7.35E-11,5.17E-12,00:05.5
14:14.2,,7.46E-11,6.50E-12,00:05.6
14:14.4,,7.11E-11,5.02E-12,00:05.8
14:14.5,,6.95E-11,4.83E-12,00:05.9
14:14.6,,7.04E-11,5.57E-12,00:06.0
14:14.9,,7.47E-11,4.88E-12,00:06.3
14:15.0,,7.18E-11,4.60E-12,00:06.4
14:15.1,,7.06E-11,5.91E-12,00:06.5
14:15.2,,7.09E-11,5.59E-12,00:06.6
14:15.4,,6.98E-11,6.34E-12,00:06.8
14:15.5,,7.12E-11,5.36E-12,00:06.9
14:15.6,,7.38E-11,6.47E-12,00:07.0
14:15.8,,7.23E-11,5.57E-12,00:07.2
14:15.9,,7.10E-11,6.24E-12,00:07.3
