"Time&Date","$Flags$","A43","A58",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2017/12/18 10:59:40.00,"",1.5213E-12,-8.2804E-13,
2017/12/18 10:59:40.13,"",4.6014E-13,4.2971E-14,
2017/12/18 10:59:40.26,"",1.1333E-12,3.6774E-13,
2017/12/18 10:59:40.42,"",6.4021E-13,4.7591E-13,
2017/12/18 10:59:40.55,"",2.1455E-12,-9.8539E-13,
2017/12/18 10:59:40.72,"",1.5275E-12,-2.6395E-13,
2017/12/18 10:59:40.97,"",1.9978E-12,-6.9053E-13,
2017/12/18 10:59:41.11,"",7.1571E-13,2.9665E-13,
2017/12/18 10:59:41.25,"",1.5804E-12,-1.2186E-12,
2017/12/18 10:59:41.40,"",1.7425E-12,-1.1877E-12,
2017/12/18 10:59:41.55,"",1.3609E-12,-6.4487E-13,
2017/12/18 10:59:41.70,"",1.0893E-12,-7.5713E-13,
2017/12/18 10:59:41.85,"",1.8268E-12,-9.3428E-13,
2017/12/18 10:59:42.00,"",1.5041E-12,-1.207E-12,
2017/12/18 10:59:42.14,"",3.4179E-13,5.8488E-13,
2017/12/18 10:59:42.29,"",7.7545E-13,4.6586E-13,
2017/12/18 10:59:42.41,"",-5.2676E-14,6.6733E-13,
2017/12/18 10:59:42.56,"",1.7977E-12,-3.0866E-13,
2017/12/18 10:59:42.67,"",1.8047E-12,-1.0319E-13,
2017/12/18 10:59:42.79,"",5.4791E-13,-2.8296E-13,
2017/12/18 10:59:42.91,"",1.278E-12,-4.3315E-13,
2017/12/18 10:59:43.17,"",6.6937E-13,8.7577E-13,
2017/12/18 10:59:43.31,"",1.8313E-13,8.224E-13,
2017/12/18 10:59:43.46,"",1.9959E-12,-4.4175E-13,
2017/12/18 10:59:43.59,"",1.5821E-12,-1.1085E-12,
2017/12/18 10:59:43.74,"",1.6725E-12,-4.6724E-13,
2017/12/18 10:59:43.88,"",2.4056E-13,8.7499E-13,
2017/12/18 10:59:44.02,"",2.2987E-12,-7.3966E-13,
2017/12/18 10:59:44.17,"",2.304E-13,-2.2611E-13,
2017/12/18 10:59:44.37,"",2.4008E-12,-4.9072E-13,
2017/12/18 10:59:44.52,"",1.2632E-12,1.7228E-15,
2017/12/18 10:59:44.64,"",1.3629E-12,-5.3619E-13,
2017/12/18 10:59:44.77,"",1.8548E-12,-8.2563E-13,
2017/12/18 10:59:44.91,"",1.9068E-12,-1.0564E-12,
2017/12/18 10:59:45.04,"",2.3026E-12,-3.9296E-13,
2017/12/18 10:59:45.18,"",1.1703E-12,-1.8758E-13,
2017/12/18 10:59:45.33,"",6.0301E-13,8.1551E-13,
2017/12/18 10:59:45.48,"",6.4252E-13,3.246E-13,
2017/12/18 10:59:45.65,"",1.0715E-12,-3.1625E-13,
2017/12/18 10:59:45.80,"",1.5188E-12,-5.6044E-13,
2017/12/18 10:59:45.92,"",6.574E-13,1.0784E-13,
2017/12/18 10:59:46.08,"",1.9627E-12,-7.1349E-13,
2017/12/18 10:59:46.19,"",1.1841E-12,8.1501E-13,
2017/12/18 10:59:46.33,"",5.7042E-13,8.9229E-13,
2017/12/18 10:59:46.47,"",1.0369E-13,4.0836E-14,
2017/12/18 10:59:46.62,"",-4.0046E-13,7.1343E-13,
2017/12/18 10:59:46.76,"",8.9586E-13,5.8953E-13,
2017/12/18 10:59:46.89,"",9.0068E-13,-2.549E-13,
2017/12/18 10:59:47.03,"",1.6023E-12,-6.3531E-13,
2017/12/18 10:59:47.16,"",1.5601E-12,-5.6593E-13,
2017/12/18 10:59:47.31,"",1.2146E-12,-9.0465E-13,
2017/12/18 10:59:47.45,"",3.1775E-13,5.634E-13,
2017/12/18 10:59:47.57,"",1.3189E-12,-2.4369E-13,
2017/12/18 10:59:47.72,"",1.0362E-12,-2.0668E-14,
2017/12/18 10:59:47.85,"",8.4431E-13,6.3156E-13,
2017/12/18 10:59:47.97,"",1.6335E-12,-6.5991E-13,
2017/12/18 10:59:48.10,"",7.2588E-13,-1.71E-14,
2017/12/18 10:59:48.21,"",2.008E-12,-3.2776E-13,
2017/12/18 10:59:48.34,"",9.0002E-13,6.8317E-13,
2017/12/18 10:59:48.48,"",1.3476E-12,-6.2155E-13,
2017/12/18 10:59:48.73,"",1.1142E-12,5.1709E-13,
2017/12/18 10:59:48.88,"",1.0209E-12,6.259E-13,
2017/12/18 10:59:49.01,"",5.5074E-13,-2.4024E-13,
2017/12/18 10:59:49.14,"",1.3424E-12,-8.7751E-13,
2017/12/18 10:59:49.30,"",1.1538E-12,1.8784E-13,
2017/12/18 10:59:49.43,"",1.3836E-12,-1.5325E-15,
2017/12/18 10:59:49.58,"",-3.7367E-13,6.8531E-13,
2017/12/18 10:59:49.72,"",1.4038E-12,-5.795E-13,
2017/12/18 10:59:49.87,"",1.6466E-12,-4.8693E-13,
2017/12/18 10:59:50.00,"",8.7676E-13,8.3045E-13,
2017/12/18 10:59:50.14,"",5.5171E-13,2.8337E-13,
2017/12/18 10:59:50.27,"",1.2623E-12,-9.2017E-13,
2017/12/18 10:59:50.39,"",2.066E-12,8.3176E-13,
2017/12/18 10:59:50.50,"",1.0792E-14,7.3102E-13,
2017/12/18 10:59:50.63,"",1.8685E-12,4.6252E-13,
2017/12/18 10:59:50.89,"",1.2269E-12,-5.8141E-13,
2017/12/18 10:59:51.06,"",2.6888E-13,6.329E-13,
2017/12/18 10:59:51.18,"",1.5512E-12,-1.0734E-12,
2017/12/18 10:59:51.33,"",1.4148E-12,-1.263E-12,
2017/12/18 10:59:51.47,"",2.6416E-13,7.8457E-13,
2017/12/18 10:59:51.61,"",8.0784E-13,2.7975E-13,
2017/12/18 10:59:51.73,"",2.0424E-12,-5.7327E-13,
2017/12/18 10:59:51.88,"",1.9601E-12,-5.9595E-13,
2017/12/18 10:59:52.01,"",1.752E-12,-1.0812E-12,
2017/12/18 10:59:52.15,"",1.8295E-12,-8.6134E-13,
2017/12/18 10:59:52.28,"",1.5794E-12,-1.297E-12,
2017/12/18 10:59:52.41,"",1.6999E-12,-4.3148E-13,
2017/12/18 10:59:52.57,"",1.6E-12,-7.8227E-13,
2017/12/18 10:59:52.69,"",1.709E-12,-9.3348E-15,
2017/12/18 10:59:52.82,"",1.0386E-12,6.4271E-13,
2017/12/18 10:59:52.96,"",7.8936E-13,6.3812E-13,
2017/12/18 10:59:53.20,"",1.0382E-12,6.9891E-13,
2017/12/18 10:59:53.33,"",1.2043E-12,2.2641E-13,
2017/12/18 10:59:53.47,"",6.1692E-13,1.1709E-12,
2017/12/18 10:59:53.60,"",1.3935E-12,3.1276E-13,
2017/12/18 10:59:53.71,"",1.6832E-12,2.7823E-13,
2017/12/18 10:59:53.86,"",7.0324E-13,6.2421E-13,
2017/12/18 10:59:54.00,"",1.9819E-12,3.5101E-13,
2017/12/18 10:59:54.11,"",2.3142E-12,-3.8169E-13,
2017/12/18 10:59:54.28,"",2.8609E-12,1.459E-13,
2017/12/18 10:59:54.43,"",1.1332E-12,8.2454E-13,
2017/12/18 10:59:54.58,"",2.6884E-12,1.384E-13,
2017/12/18 10:59:54.73,"",1.9365E-12,-2.6454E-13,
2017/12/18 10:59:54.85,"",9.6952E-13,7.6616E-13,
2017/12/18 10:59:54.98,"",1.2565E-12,9.3608E-13,
2017/12/18 10:59:55.11,"",2.1261E-12,-1.1466E-12,
2017/12/18 10:59:55.24,"",1.0158E-12,6.205E-13,
2017/12/18 10:59:55.38,"",2.2475E-12,-6.0727E-13,
2017/12/18 10:59:55.52,"",1.2287E-12,6.3278E-13,
2017/12/18 10:59:55.67,"",2.9621E-12,-9.8146E-13,
2017/12/18 10:59:55.81,"",2.5462E-12,-4.8473E-13,
2017/12/18 10:59:55.95,"",1.9247E-12,2.4204E-13,
2017/12/18 10:59:56.07,"",4.883E-13,5.9685E-13,
2017/12/18 10:59:56.22,"",5.4512E-13,9.4678E-13,
2017/12/18 10:59:56.45,"",2.8097E-12,-4.6414E-13,
2017/12/18 10:59:56.57,"",2.9288E-12,-8.5992E-13,
2017/12/18 10:59:56.72,"",2.5598E-12,3.0947E-13,
